zone_profile_id,botanical_entry_id,match_status,match_candidates,botanical_link,common_names,growth_habit,forest_garden_layer,lifespan,native_region,climate_band_prefers,hardiness_class,outdoor_suitability,greenhouse_zone,indoor_container_use,soil_type,soil_moisture,soil_functions,sun_exposure,humidity_preference,root_depth_type,spread_pattern,companion_plants,incompatible_with,guild_roles,foraging_habitat,harvest_window,planting_sowing_window,yield_regrowth,propagation_methods,conservation_status,foraging_cautions,wildlife_supported,notes,branch_id,country,region,zone,microclimate_tags,production_mode,source_table,source_row
BRWM-00012,BOT-BR-0004,matched_source_id,BOT-BR-0004:Abacaxi — BRS Vitória,Abacaxi — BRS Vitória,Abacaxi — BRS Vitória,Herb,,,Brazil,Managed tropical,,Brazil-bred cultivar,,,Managed orchard soils,,,Managed commercial cultivation,,,,,,,Orchard / plantation,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,Southeast,Nationwide managed orchards,full sun;well-drained;commercial beds,Cultivated orchard,Brazil_Working_Master,13
BRWM-00013,BOT-BR-0005,matched_source_id,BOT-BR-0005:Abacaxi — MD-2,Abacaxi — MD-2,Abacaxi — MD-2,Herb,,,Brazil,Managed tropical,,Brazil-bred cultivar,,,Managed orchard soils,,,Managed commercial cultivation,,,,,,,Orchard / plantation,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,Northeast,Nationwide managed orchards,full sun;well-drained;commercial beds,Cultivated orchard,Brazil_Working_Master,14
BRWM-00014,BOT-BR-0005,matched_source_id,BOT-BR-0005:Abacaxi — MD-2,Abacaxi — MD-2,Abacaxi — MD-2,Herb,,,Brazil,Managed tropical,,Brazil-bred cultivar,,,Managed orchard soils,,,Managed commercial cultivation,,,,,,,Orchard / plantation,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,North,Nationwide managed orchards,full sun;well-drained;commercial beds,Cultivated orchard,Brazil_Working_Master,15
BRWM-00015,BOT-BR-0005,matched_source_id,BOT-BR-0005:Abacaxi — MD-2,Abacaxi — MD-2,Abacaxi — MD-2,Herb,,,Brazil,Managed tropical,,Brazil-bred cultivar,,,Managed orchard soils,,,Managed commercial cultivation,,,,,,,Orchard / plantation,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,Southeast,Nationwide managed orchards,full sun;well-drained;commercial beds,Cultivated orchard,Brazil_Working_Master,16
BRWM-00016,BOT-BR-0006,matched_source_id,BOT-BR-0006:Abacaxi — Pérola,Abacaxi — Pérola,Abacaxi — Pérola,Herb,,,Brazil,Managed tropical,,Brazil-bred cultivar,,,Managed orchard soils,,,Managed commercial cultivation,,,,,,,Orchard / plantation,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,Northeast,Nationwide managed orchards,full sun;well-drained;commercial beds,Cultivated orchard,Brazil_Working_Master,17
BRWM-00017,BOT-BR-0006,matched_source_id,BOT-BR-0006:Abacaxi — Pérola,Abacaxi — Pérola,Abacaxi — Pérola,Herb,,,Brazil,Managed tropical,,Brazil-bred cultivar,,,Managed orchard soils,,,Managed commercial cultivation,,,,,,,Orchard / plantation,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,North,Nationwide managed orchards,full sun;well-drained;commercial beds,Cultivated orchard,Brazil_Working_Master,18
BRWM-00018,BOT-BR-0006,matched_source_id,BOT-BR-0006:Abacaxi — Pérola,Abacaxi — Pérola,Abacaxi — Pérola,Herb,,,Brazil,Managed tropical,,Brazil-bred cultivar,,,Managed orchard soils,,,Managed commercial cultivation,,,,,,,Orchard / plantation,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,Southeast,Nationwide managed orchards,full sun;well-drained;commercial beds,Cultivated orchard,Brazil_Working_Master,19
BRWM-00019,BOT-BR-0007,matched_source_id,BOT-BR-0007:Abacaxi — Smooth Cayenne,Abacaxi — Smooth Cayenne,Abacaxi — Smooth Cayenne,Herb,,,Brazil,Managed tropical,,Brazil-bred cultivar,,,Managed orchard soils,,,Managed commercial cultivation,,,,,,,Orchard / plantation,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,Northeast,Nationwide managed orchards,full sun;well-drained;commercial beds,Cultivated orchard,Brazil_Working_Master,20
BRWM-00020,BOT-BR-0007,matched_source_id,BOT-BR-0007:Abacaxi — Smooth Cayenne,Abacaxi — Smooth Cayenne,Abacaxi — Smooth Cayenne,Herb,,,Brazil,Managed tropical,,Brazil-bred cultivar,,,Managed orchard soils,,,Managed commercial cultivation,,,,,,,Orchard / plantation,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,North,Nationwide managed orchards,full sun;well-drained;commercial beds,Cultivated orchard,Brazil_Working_Master,21
BRWM-00021,BOT-BR-0007,matched_source_id,BOT-BR-0007:Abacaxi — Smooth Cayenne,Abacaxi — Smooth Cayenne,Abacaxi — Smooth Cayenne,Herb,,,Brazil,Managed tropical,,Brazil-bred cultivar,,,Managed orchard soils,,,Managed commercial cultivation,,,,,,,Orchard / plantation,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,Southeast,Nationwide managed orchards,full sun;well-drained;commercial beds,Cultivated orchard,Brazil_Working_Master,22
BRWM-00022,BOT-BR-0008,matched_source_id,BOT-BR-0008:Abacaxi — Turiaçu,Abacaxi — Turiaçu,Abacaxi — Turiaçu,Herb,,,Brazil,Managed tropical,,Brazil-bred cultivar,,,Managed orchard soils,,,Managed commercial cultivation,,,,,,,Orchard / plantation,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,Northeast,Nationwide managed orchards,full sun;well-drained;commercial beds,Cultivated orchard,Brazil_Working_Master,23
BRWM-00023,BOT-BR-0008,matched_source_id,BOT-BR-0008:Abacaxi — Turiaçu,Abacaxi — Turiaçu,Abacaxi — Turiaçu,Herb,,,Brazil,Managed tropical,,Brazil-bred cultivar,,,Managed orchard soils,,,Managed commercial cultivation,,,,,,,Orchard / plantation,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,North,Nationwide managed orchards,full sun;well-drained;commercial beds,Cultivated orchard,Brazil_Working_Master,24
BRWM-00024,BOT-BR-0008,matched_source_id,BOT-BR-0008:Abacaxi — Turiaçu,Abacaxi — Turiaçu,Abacaxi — Turiaçu,Herb,,,Brazil,Managed tropical,,Brazil-bred cultivar,,,Managed orchard soils,,,Managed commercial cultivation,,,,,,,Orchard / plantation,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,Southeast,Nationwide managed orchards,full sun;well-drained;commercial beds,Cultivated orchard,Brazil_Working_Master,25
BRWM-00025,BOT-BR-0009,matched_source_id,BOT-BR-0009:Acerola,Acerola,Acerola,Shrub / small tree,,,Brazil,Managed tropical / semiarid irrigated,,Widely cultivated in Brazil,,,Well-drained;organic matter,,,Full sun to partial sun; moisture according to species,,,,,,,Managed orchard;agroforestry;forest edge,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,Northeast,Nationwide managed orchards,full sun;irrigated or managed dryland,Cultivated orchard,Brazil_Working_Master,26
BRWM-00026,BOT-BR-0009,matched_source_id,BOT-BR-0009:Acerola,Acerola,Acerola,Shrub / small tree,,,Brazil,Managed tropical / semiarid irrigated,,Widely cultivated in Brazil,,,Well-drained;organic matter,,,Full sun to partial sun; moisture according to species,,,,,,,Managed orchard;agroforestry;forest edge,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,Southeast,Nationwide managed orchards,full sun;irrigated or managed dryland,Cultivated orchard,Brazil_Working_Master,27
BRWM-00027,BOT-BR-0009,matched_source_id,BOT-BR-0009:Acerola,Acerola,Acerola,Shrub / small tree,,,Brazil,Managed tropical / semiarid irrigated,,Widely cultivated in Brazil,,,Well-drained;organic matter,,,Full sun to partial sun; moisture according to species,,,,,,,Managed orchard;agroforestry;forest edge,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,North,Nationwide managed orchards,full sun;irrigated or managed dryland,Cultivated orchard,Brazil_Working_Master,28
BRWM-00028,BOT-BR-0010,matched_source_id,BOT-BR-0010:Acerola — BRS 235 Apodi,Acerola — BRS 235 Apodi,Acerola — BRS 235 Apodi,Shrub / small tree,,,Brazil,Managed tropical / semiarid irrigated,,Brazil-bred cultivar,,,Managed orchard soils,,,Managed commercial cultivation,,,,,,,Orchard / plantation,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,Northeast,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Brazil_Working_Master,29
BRWM-00029,BOT-BR-0010,matched_source_id,BOT-BR-0010:Acerola — BRS 235 Apodi,Acerola — BRS 235 Apodi,Acerola — BRS 235 Apodi,Shrub / small tree,,,Brazil,Managed tropical / semiarid irrigated,,Brazil-bred cultivar,,,Managed orchard soils,,,Managed commercial cultivation,,,,,,,Orchard / plantation,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,Southeast,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Brazil_Working_Master,30
BRWM-00030,BOT-BR-0010,matched_source_id,BOT-BR-0010:Acerola — BRS 235 Apodi,Acerola — BRS 235 Apodi,Acerola — BRS 235 Apodi,Shrub / small tree,,,Brazil,Managed tropical / semiarid irrigated,,Brazil-bred cultivar,,,Managed orchard soils,,,Managed commercial cultivation,,,,,,,Orchard / plantation,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,North,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Brazil_Working_Master,31
BRWM-00031,BOT-BR-0011,matched_source_id,BOT-BR-0011:Acerola — BRS 236 Cereja,Acerola — BRS 236 Cereja,Acerola — BRS 236 Cereja,Shrub / small tree,,,Brazil,Managed tropical / semiarid irrigated,,Brazil-bred cultivar,,,Managed orchard soils,,,Managed commercial cultivation,,,,,,,Orchard / plantation,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,Northeast,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Brazil_Working_Master,32
BRWM-00032,BOT-BR-0011,matched_source_id,BOT-BR-0011:Acerola — BRS 236 Cereja,Acerola — BRS 236 Cereja,Acerola — BRS 236 Cereja,Shrub / small tree,,,Brazil,Managed tropical / semiarid irrigated,,Brazil-bred cultivar,,,Managed orchard soils,,,Managed commercial cultivation,,,,,,,Orchard / plantation,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,Southeast,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Brazil_Working_Master,33
BRWM-00033,BOT-BR-0011,matched_source_id,BOT-BR-0011:Acerola — BRS 236 Cereja,Acerola — BRS 236 Cereja,Acerola — BRS 236 Cereja,Shrub / small tree,,,Brazil,Managed tropical / semiarid irrigated,,Brazil-bred cultivar,,,Managed orchard soils,,,Managed commercial cultivation,,,,,,,Orchard / plantation,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,North,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Brazil_Working_Master,34
BRWM-00034,BOT-BR-0012,matched_source_id,BOT-BR-0012:Acerola — BRS 237 Roxinha,Acerola — BRS 237 Roxinha,Acerola — BRS 237 Roxinha,Shrub / small tree,,,Brazil,Managed tropical / semiarid irrigated,,Brazil-bred cultivar,,,Managed orchard soils,,,Managed commercial cultivation,,,,,,,Orchard / plantation,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,Northeast,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Brazil_Working_Master,35
BRWM-00035,BOT-BR-0012,matched_source_id,BOT-BR-0012:Acerola — BRS 237 Roxinha,Acerola — BRS 237 Roxinha,Acerola — BRS 237 Roxinha,Shrub / small tree,,,Brazil,Managed tropical / semiarid irrigated,,Brazil-bred cultivar,,,Managed orchard soils,,,Managed commercial cultivation,,,,,,,Orchard / plantation,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,Southeast,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Brazil_Working_Master,36
BRWM-00036,BOT-BR-0012,matched_source_id,BOT-BR-0012:Acerola — BRS 237 Roxinha,Acerola — BRS 237 Roxinha,Acerola — BRS 237 Roxinha,Shrub / small tree,,,Brazil,Managed tropical / semiarid irrigated,,Brazil-bred cultivar,,,Managed orchard soils,,,Managed commercial cultivation,,,,,,,Orchard / plantation,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,North,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Brazil_Working_Master,37
BRWM-00037,BOT-BR-0013,matched_source_id,BOT-BR-0013:Acerola — BRS 238 Frutacor,Acerola — BRS 238 Frutacor,Acerola — BRS 238 Frutacor,Shrub / small tree,,,Brazil,Managed tropical / semiarid irrigated,,Brazil-bred cultivar,,,Managed orchard soils,,,Managed commercial cultivation,,,,,,,Orchard / plantation,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,Northeast,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Brazil_Working_Master,38
BRWM-00038,BOT-BR-0013,matched_source_id,BOT-BR-0013:Acerola — BRS 238 Frutacor,Acerola — BRS 238 Frutacor,Acerola — BRS 238 Frutacor,Shrub / small tree,,,Brazil,Managed tropical / semiarid irrigated,,Brazil-bred cultivar,,,Managed orchard soils,,,Managed commercial cultivation,,,,,,,Orchard / plantation,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,Southeast,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Brazil_Working_Master,39
BRWM-00039,BOT-BR-0013,matched_source_id,BOT-BR-0013:Acerola — BRS 238 Frutacor,Acerola — BRS 238 Frutacor,Acerola — BRS 238 Frutacor,Shrub / small tree,,,Brazil,Managed tropical / semiarid irrigated,,Brazil-bred cultivar,,,Managed orchard soils,,,Managed commercial cultivation,,,,,,,Orchard / plantation,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,North,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Brazil_Working_Master,40
BRWM-00040,BOT-BR-0014,matched_source_id,BOT-BR-0014:Acerola — BRS 366 Jaburu,Acerola — BRS 366 Jaburu,Acerola — BRS 366 Jaburu,Shrub / small tree,,,Brazil,Managed tropical / semiarid irrigated,,Brazil-bred cultivar,,,Managed orchard soils,,,Managed commercial cultivation,,,,,,,Orchard / plantation,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,Northeast,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Brazil_Working_Master,41
BRWM-00041,BOT-BR-0014,matched_source_id,BOT-BR-0014:Acerola — BRS 366 Jaburu,Acerola — BRS 366 Jaburu,Acerola — BRS 366 Jaburu,Shrub / small tree,,,Brazil,Managed tropical / semiarid irrigated,,Brazil-bred cultivar,,,Managed orchard soils,,,Managed commercial cultivation,,,,,,,Orchard / plantation,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,Southeast,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Brazil_Working_Master,42
BRWM-00042,BOT-BR-0014,matched_source_id,BOT-BR-0014:Acerola — BRS 366 Jaburu,Acerola — BRS 366 Jaburu,Acerola — BRS 366 Jaburu,Shrub / small tree,,,Brazil,Managed tropical / semiarid irrigated,,Brazil-bred cultivar,,,Managed orchard soils,,,Managed commercial cultivation,,,,,,,Orchard / plantation,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,North,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Brazil_Working_Master,43
BRWM-00043,BOT-BR-0015,matched_source_id,BOT-BR-0015:Acerola — BRS Cabocla,Acerola — BRS Cabocla,Acerola — BRS Cabocla,Shrub / small tree,,,Brazil,Managed tropical / semiarid irrigated,,Brazil-bred cultivar,,,Managed orchard soils,,,Managed commercial cultivation,,,,,,,Orchard / plantation,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,Northeast,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Brazil_Working_Master,44
BRWM-00044,BOT-BR-0015,matched_source_id,BOT-BR-0015:Acerola — BRS Cabocla,Acerola — BRS Cabocla,Acerola — BRS Cabocla,Shrub / small tree,,,Brazil,Managed tropical / semiarid irrigated,,Brazil-bred cultivar,,,Managed orchard soils,,,Managed commercial cultivation,,,,,,,Orchard / plantation,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,Southeast,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Brazil_Working_Master,45
BRWM-00045,BOT-BR-0015,matched_source_id,BOT-BR-0015:Acerola — BRS Cabocla,Acerola — BRS Cabocla,Acerola — BRS Cabocla,Shrub / small tree,,,Brazil,Managed tropical / semiarid irrigated,,Brazil-bred cultivar,,,Managed orchard soils,,,Managed commercial cultivation,,,,,,,Orchard / plantation,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,North,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Brazil_Working_Master,46
BRWM-00046,BOT-BR-0016,matched_source_id,BOT-BR-0016:Acerola — BRS Rubra,Acerola — BRS Rubra,Acerola — BRS Rubra,Shrub / small tree,,,Brazil,Managed tropical / semiarid irrigated,,Brazil-bred cultivar,,,Managed orchard soils,,,Managed commercial cultivation,,,,,,,Orchard / plantation,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,Northeast,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Brazil_Working_Master,47
BRWM-00047,BOT-BR-0016,matched_source_id,BOT-BR-0016:Acerola — BRS Rubra,Acerola — BRS Rubra,Acerola — BRS Rubra,Shrub / small tree,,,Brazil,Managed tropical / semiarid irrigated,,Brazil-bred cultivar,,,Managed orchard soils,,,Managed commercial cultivation,,,,,,,Orchard / plantation,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,Southeast,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Brazil_Working_Master,48
BRWM-00048,BOT-BR-0016,matched_source_id,BOT-BR-0016:Acerola — BRS Rubra,Acerola — BRS Rubra,Acerola — BRS Rubra,Shrub / small tree,,,Brazil,Managed tropical / semiarid irrigated,,Brazil-bred cultivar,,,Managed orchard soils,,,Managed commercial cultivation,,,,,,,Orchard / plantation,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,North,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Brazil_Working_Master,49
BRWM-00049,BOT-BR-0017,matched_source_id,BOT-BR-0017:Acerola — BRS Sertaneja,Acerola — BRS Sertaneja,Acerola — BRS Sertaneja,Shrub / small tree,,,Brazil,Managed tropical / semiarid irrigated,,Brazil-bred cultivar,,,Managed orchard soils,,,Managed commercial cultivation,,,,,,,Orchard / plantation,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,Northeast,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Brazil_Working_Master,50
BRWM-00050,BOT-BR-0017,matched_source_id,BOT-BR-0017:Acerola — BRS Sertaneja,Acerola — BRS Sertaneja,Acerola — BRS Sertaneja,Shrub / small tree,,,Brazil,Managed tropical / semiarid irrigated,,Brazil-bred cultivar,,,Managed orchard soils,,,Managed commercial cultivation,,,,,,,Orchard / plantation,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,Southeast,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Brazil_Working_Master,51
BRWM-00051,BOT-BR-0017,matched_source_id,BOT-BR-0017:Acerola — BRS Sertaneja,Acerola — BRS Sertaneja,Acerola — BRS Sertaneja,Shrub / small tree,,,Brazil,Managed tropical / semiarid irrigated,,Brazil-bred cultivar,,,Managed orchard soils,,,Managed commercial cultivation,,,,,,,Orchard / plantation,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,North,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Brazil_Working_Master,52
BRWM-00052,BOT-BR-0018,matched_source_id,BOT-BR-0018:Acerola — Okinawa,Acerola — Okinawa,Acerola — Okinawa,Shrub / small tree,,,Brazil,Managed tropical / semiarid irrigated,,Brazil-bred cultivar,,,Managed orchard soils,,,Managed commercial cultivation,,,,,,,Orchard / plantation,,,,,Not reviewed,,,Fill only from source-backed regional data; legacy Season is summary only.,branch_brazil,Brazil,Northeast,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Brazil_Working_Master,53
