botanical_entry_id,light_preference,flood_tolerance,salinity_tolerance,heat_tolerance,fire_tolerance,harvest_window_brazil,local_only_flag,export_mode,nursery_only_flag,education_only_flag,current_site_live_flag,match_basis
BOTBR-0011,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0011,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0012,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0012,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0012,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0013,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0013,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0013,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0014,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0014,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0014,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0015,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0015,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0015,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0016,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0016,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0016,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0017,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0017,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0017,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0018,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0018,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0018,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0020,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0020,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0021,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0022,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0022,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0023,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0023,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0023,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0027,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0027,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0028,full sun to part shade,medium to high,low to medium,high,low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0028,full sun to part shade,medium to high,low to medium,high,low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0029,full sun to part shade,medium to high,low to medium,high,low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0030,full sun to part shade,medium to high,low to medium,high,low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0030,full sun to part shade,medium to high,low to medium,high,low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0032,full sun to part shade,medium to high,low to medium,high,low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0032,full sun to part shade,medium to high,low to medium,high,low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0033,full sun to part shade,medium to high,low to medium,high,low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0034,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0034,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0050,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0050,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0051,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0051,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0052,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0052,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0052,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0053,full sun to part shade,medium to high,low to medium,high,low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0053,full sun to part shade,medium to high,low to medium,high,low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0053,full sun to part shade,medium to high,low to medium,high,low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0054,filtered sun to part shade,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0054,filtered sun to part shade,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0054,filtered sun to part shade,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0055,full sun to light shade,low,low,medium to high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0055,full sun to light shade,low,low,medium to high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0056,full sun to light shade,low,low,medium to high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0056,full sun to light shade,low,low,medium to high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0057,full sun to light shade,low,low,medium to high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0057,full sun to light shade,low,low,medium to high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0058,full sun to light shade,low,low,medium to high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0058,full sun to light shade,low,low,medium to high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0059,full sun to light shade,low,low,medium to high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0059,full sun to light shade,low,low,medium to high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0060,full sun to light shade,low,low,medium to high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0060,full sun to light shade,low,low,medium to high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0061,full sun to light shade,low,low,medium to high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0061,full sun to light shade,low,low,medium to high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0062,full sun to light shade,low,low,medium to high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0062,full sun to light shade,low,low,medium to high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0063,full sun to light shade,low,low,medium to high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0063,full sun to light shade,low,low,medium to high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0064,full sun to light shade,low,low,medium to high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0064,full sun to light shade,low,low,medium to high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0065,full sun to light shade,low,low,medium to high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0065,full sun to light shade,low,low,medium to high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0066,full sun to light shade,low,low,medium to high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0066,full sun to light shade,low,low,medium to high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0067,full sun to light shade,low,low,medium to high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0067,full sun to light shade,low,low,medium to high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0068,full sun to light shade,low,low,medium to high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0068,full sun to light shade,low,low,medium to high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0069,full sun to light shade,low,low,medium to high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0069,full sun to light shade,low,low,medium to high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0070,full sun to light shade,low,low,medium to high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0070,full sun to light shade,low,low,medium to high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0071,full sun to light shade,low,low,medium to high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0071,full sun to light shade,low,low,medium to high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0072,full sun to light shade,low,low,medium to high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0072,full sun to light shade,low,low,medium to high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0073,full sun to light shade,low,low,medium to high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0073,full sun to light shade,low,low,medium to high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0073,full sun to light shade,low,low,medium to high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0074,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0074,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0075,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0075,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0076,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0076,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0077,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0077,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0079,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0080,full sun to part shade,low,low,high,low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0080,full sun to part shade,low,low,high,low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0080,full sun to part shade,low,low,high,low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0080,full sun to part shade,low,low,high,low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0081,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0081,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0083,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0083,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0084,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0084,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0084,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0086,filtered sun to part shade,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0086,filtered sun to part shade,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0088,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0089,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0089,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0090,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0090,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0090,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0090,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0091,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0091,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0091,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0091,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0092,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0092,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0092,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0092,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0093,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0093,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0093,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0093,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0094,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0094,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0094,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0094,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0095,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0095,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0095,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0095,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0096,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0096,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0096,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0096,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0097,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0097,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0097,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0097,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0098,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0098,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0098,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0098,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0099,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0099,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0099,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0100,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0100,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0101,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0101,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0101,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0102,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0102,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0102,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0102,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0104,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0105,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0106,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0107,full sun,low,low,high,very low,not applicable,,,,,,scientific_name_to_accepted_name
BOTBR-0107,full sun,low,low,high,very low,not applicable,,,,,,scientific_name_to_accepted_name
BOTBR-0107,full sun,low,low,high,very low,not applicable,,,,,,scientific_name_to_accepted_name
BOTBR-0107,full sun,low,low,high,very low,not applicable,,,,,,scientific_name_to_accepted_name
BOTBR-0109,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0109,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0111,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0111,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0111,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0111,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0112,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0112,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0112,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0113,full sun to part shade,medium to high,low to medium,high,low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0113,full sun to part shade,medium to high,low to medium,high,low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0114,full sun to part shade,medium to high,low to medium,high,low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0115,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0115,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0115,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0116,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0116,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0116,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0116,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0117,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0117,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0117,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0117,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0118,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0118,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0118,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0118,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0119,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0119,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0119,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0119,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0120,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0120,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0120,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0120,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0121,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0121,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0121,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0125,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0125,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0125,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0129,full sun to part shade,medium to high,low to medium,high,low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0130,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0130,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0132,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0132,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0132,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0135,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0135,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0135,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0137,full sun to part shade,medium to high,low to medium,high,low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0137,full sun to part shade,medium to high,low to medium,high,low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0141,full sun to part shade,medium to high,low to medium,high,low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0142,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0144,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
BOTBR-0144,full sun,low,low,high,very low,regional / variable,,,,,,scientific_name_to_accepted_name
