botanical_entry_id,common_name_pt,common_name_en,scientific_name,variety_cultivar,alternative_names,plant_type,heritage_flag,medicinal_flag,inclusion_rationale,mature_height_m_min,mature_height_m_max,mature_spread_m_min,mature_spread_m_max,data_confidence_level,data_source_type,record_completeness_score,fields_completed_count,system_roles,invasiveness_risk_level,spread_control_required,min_temp_c,max_temp_c,drought_tolerance,frost_tolerance,endemic_to_brazil,conservation_flag,invasive_risk_brazil,source_url_primary,source_url_secondary,source_url_tertiary,confidence_score,confidence_notes,source_table,source_row
BOT-BR-0011,Acerola — BRS 236 Cereja,acerola,Malpighia emarginata,BRS 236 Cereja,,Shrub / small tree,TRUE,TRUE,biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,1.5,5,1.5,4,high,Brazil_Workbooks_FNP,0.909,10,fruit_producer;medicinal;structural,low,FALSE,18.0,34.0,medium,low,FALSE,no,low,https://floradobrasil.jbrj.gov.br/consulta/?q=Malpighia%20emarginata,https://powo.science.kew.org/results?q=Malpighia%20emarginata,https://www.embrapa.br/busca-de-publicacoes/-/publicacao/busca/acerola,5,Brazil block 1 row built from accepted-name backbone plus profile-level horticultural defaults; verify cultivar-specific details before production deployment.,Botanicals_Master,12
BOT-BR-0012,Acerola — BRS 237 Roxinha,acerola,Malpighia emarginata,BRS 237 Roxinha,,Shrub / small tree,TRUE,TRUE,biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,1.5,5,1.5,4,high,Brazil_Workbooks_FNP,0.909,10,fruit_producer;medicinal;structural,low,FALSE,18.0,34.0,medium,low,FALSE,no,low,https://floradobrasil.jbrj.gov.br/consulta/?q=Malpighia%20emarginata,https://powo.science.kew.org/results?q=Malpighia%20emarginata,https://www.embrapa.br/busca-de-publicacoes/-/publicacao/busca/acerola,5,Brazil block 1 row built from accepted-name backbone plus profile-level horticultural defaults; verify cultivar-specific details before production deployment.,Botanicals_Master,13
BOT-BR-0013,Acerola — BRS 238 Frutacor,acerola,Malpighia emarginata,BRS 238 Frutacor,,Shrub / small tree,TRUE,TRUE,biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,1.5,5,1.5,4,high,Brazil_Workbooks_FNP,0.909,10,fruit_producer;medicinal;structural,low,FALSE,18.0,34.0,medium,low,FALSE,no,low,https://floradobrasil.jbrj.gov.br/consulta/?q=Malpighia%20emarginata,https://powo.science.kew.org/results?q=Malpighia%20emarginata,https://www.embrapa.br/busca-de-publicacoes/-/publicacao/busca/acerola,5,Brazil block 1 row built from accepted-name backbone plus profile-level horticultural defaults; verify cultivar-specific details before production deployment.,Botanicals_Master,14
BOT-BR-0014,Acerola — BRS 366 Jaburu,acerola,Malpighia emarginata,BRS 366 Jaburu,,Shrub / small tree,TRUE,TRUE,biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,1.5,5,1.5,4,high,Brazil_Workbooks_FNP,0.909,10,fruit_producer;medicinal;structural,low,FALSE,18.0,34.0,medium,low,FALSE,no,low,https://floradobrasil.jbrj.gov.br/consulta/?q=Malpighia%20emarginata,https://powo.science.kew.org/results?q=Malpighia%20emarginata,https://www.embrapa.br/busca-de-publicacoes/-/publicacao/busca/acerola,5,Brazil block 1 row built from accepted-name backbone plus profile-level horticultural defaults; verify cultivar-specific details before production deployment.,Botanicals_Master,15
BOT-BR-0015,Acerola — BRS Cabocla,acerola,Malpighia emarginata,BRS Cabocla,,Shrub / small tree,TRUE,TRUE,biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,1.5,5,1.5,4,high,Brazil_Workbooks_FNP,0.909,10,fruit_producer;medicinal;structural,low,FALSE,18.0,34.0,medium,low,FALSE,no,low,https://floradobrasil.jbrj.gov.br/consulta/?q=Malpighia%20emarginata,https://powo.science.kew.org/results?q=Malpighia%20emarginata,https://www.embrapa.br/busca-de-publicacoes/-/publicacao/busca/acerola,5,Brazil block 1 row built from accepted-name backbone plus profile-level horticultural defaults; verify cultivar-specific details before production deployment.,Botanicals_Master,16
BOT-BR-0016,Acerola — BRS Rubra,acerola,Malpighia emarginata,BRS Rubra,,Shrub / small tree,TRUE,TRUE,biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,1.5,5,1.5,4,high,Brazil_Workbooks_FNP,0.909,10,fruit_producer;medicinal;structural,low,FALSE,18.0,34.0,medium,low,FALSE,no,low,https://floradobrasil.jbrj.gov.br/consulta/?q=Malpighia%20emarginata,https://powo.science.kew.org/results?q=Malpighia%20emarginata,https://www.embrapa.br/busca-de-publicacoes/-/publicacao/busca/acerola,5,Brazil block 1 row built from accepted-name backbone plus profile-level horticultural defaults; verify cultivar-specific details before production deployment.,Botanicals_Master,17
BOT-BR-0017,Acerola — BRS Sertaneja,acerola,Malpighia emarginata,BRS Sertaneja,,Shrub / small tree,TRUE,TRUE,biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,1.5,5,1.5,4,high,Brazil_Workbooks_FNP,0.909,10,fruit_producer;medicinal;structural,low,FALSE,18.0,34.0,medium,low,FALSE,no,low,https://floradobrasil.jbrj.gov.br/consulta/?q=Malpighia%20emarginata,https://powo.science.kew.org/results?q=Malpighia%20emarginata,https://www.embrapa.br/busca-de-publicacoes/-/publicacao/busca/acerola,5,Brazil block 1 row built from accepted-name backbone plus profile-level horticultural defaults; verify cultivar-specific details before production deployment.,Botanicals_Master,18
BOT-BR-0018,Acerola — Okinawa,acerola,Malpighia emarginata,Okinawa,,Shrub / small tree,TRUE,TRUE,biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,1.5,5,1.5,4,high,Brazil_Workbooks_FNP,0.909,10,fruit_producer;medicinal;structural,low,FALSE,18.0,34.0,medium,low,FALSE,no,low,https://floradobrasil.jbrj.gov.br/consulta/?q=Malpighia%20emarginata,https://powo.science.kew.org/results?q=Malpighia%20emarginata,https://www.embrapa.br/busca-de-publicacoes/-/publicacao/busca/acerola,5,Brazil block 1 row built from accepted-name backbone plus profile-level horticultural defaults; verify cultivar-specific details before production deployment.,Botanicals_Master,19
BOT-BR-0019,Alfavaca-cravo,,Ocimum gratissimum,,,Herb,,,biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,,,,,unresolved,Brazil_Workbooks_FNP,0.455,5,medicinal,,,,,,,,Not reviewed,,https://floradobrasil.jbrj.gov.br/consulta/,https://floradobrasil.jbrj.gov.br/consulta/,https://cncflora.jbrj.gov.br/,,,Botanicals_Master,20
BOT-BR-0020,Amburana-de-cheiro,cumaru-de-cheiro,Amburana cearensis,,,Tree,TRUE,TRUE,biome_tags=Caatinga|Cerrado; biome_basis=caatinga|cerrado; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,4,12,3,8,high,Brazil_Workbooks_FNP,0.909,10,fruit_producer;medicinal;structural,low (native),FALSE,18.0,34.0,medium,low,FALSE,yes,low (native),https://floradobrasil.jbrj.gov.br/consulta/?q=Amburana%20cearensis,https://powo.science.kew.org/results?q=Amburana%20cearensis,https://www.embrapa.br/busca-de-publicacoes/-/publicacao/busca/amburana,5,Brazil block 1 row built from accepted-name backbone plus profile-level horticultural defaults; verify cultivar-specific details before production deployment.,Botanicals_Master,21
BOT-BR-0021,Andiroba,andiroba,Carapa guianensis,,,Tree,TRUE,TRUE,biome_tags=Amazon|Atlantic_Forest; biome_basis=amazon|atlantic_forest; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,4,12,3,8,high,Brazil_Workbooks_FNP,0.909,10,fruit_producer;medicinal;structural,low (native),FALSE,18.0,34.0,medium,low,FALSE,yes,low (native),https://floradobrasil.jbrj.gov.br/consulta/?q=Carapa%20guianensis,https://powo.science.kew.org/results?q=Carapa%20guianensis,https://www.embrapa.br/busca-de-publicacoes/-/publicacao/busca/andiroba,5,Brazil block 1 row built from accepted-name backbone plus profile-level horticultural defaults; verify cultivar-specific details before production deployment.,Botanicals_Master,22
BOT-BR-0022,Araticum,marolo,Annona crassiflora,,,Tree,TRUE,FALSE,biome_tags=Cerrado|Highland; biome_basis=cerrado|highland; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,4,12,3,8,high,Brazil_Workbooks_FNP,0.909,10,fruit_producer;structural,low (native),FALSE,18.0,34.0,medium,low,FALSE,yes,low (native),https://floradobrasil.jbrj.gov.br/consulta/?q=Annona%20crassiflora,https://powo.science.kew.org/results?q=Annona%20crassiflora,https://www.embrapa.br/busca-de-publicacoes/-/publicacao/busca/araticum-do-cerrado,5,Brazil block 1 row built from accepted-name backbone plus profile-level horticultural defaults; verify cultivar-specific details before production deployment.,Botanicals_Master,23
BOT-BR-0023,Araucária / Pinhão,Paraná pine,Araucaria angustifolia,,,Tree,TRUE,TRUE,biome_tags=Atlantic_Forest|Highland|South_Subtropical; biome_basis=atlantic_forest|highland|south_subtropical; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,4,12,3,8,high,Brazil_Workbooks_FNP,0.909,10,fruit_producer;medicinal;structural,low (native),FALSE,18.0,34.0,medium,low,FALSE,yes,low (native),https://floradobrasil.jbrj.gov.br/consulta/?q=Araucaria%20angustifolia,https://powo.science.kew.org/results?q=Araucaria%20angustifolia,https://www.embrapa.br/busca-de-publicacoes/-/publicacao/busca/arauc%C3%A1ria,5,Brazil block 1 row built from accepted-name backbone plus profile-level horticultural defaults; verify cultivar-specific details before production deployment.,Botanicals_Master,24
BOT-BR-0024,Araçá,,Psidium cattleianum,,,Tree,,,biome_tags=Atlantic_Forest|South_Subtropical; biome_basis=atlantic_forest|south_subtropical; normalization_pass=Brazil_FNP_2026-04-05; identity_source=master_zone_only,,,,,unresolved,Brazil_Workbooks_FNP,0.545,6,fruit_producer;structural,,,,,,,,Not reviewed,,https://floradobrasil.jbrj.gov.br/consulta/,https://floradobrasil.jbrj.gov.br/consulta/,https://cncflora.jbrj.gov.br/,,,Botanicals_Master,25
BOT-BR-0025,Araçá-boi,,Eugenia stipitata,,,Tree,,,biome_tags=Amazon; biome_basis=amazon; normalization_pass=Brazil_FNP_2026-04-05; identity_source=master_zone_only,,,,,unresolved,Brazil_Workbooks_FNP,0.545,6,fruit_producer;structural,,,,,,,,Not reviewed,,https://floradobrasil.jbrj.gov.br/consulta/,https://floradobrasil.jbrj.gov.br/consulta/,https://cncflora.jbrj.gov.br/,,,Botanicals_Master,26
BOT-BR-0026,Arnica-do-campo,,Lychnophora ericoides,,,Shrub,,,biome_tags=Cerrado|Highland; biome_basis=cerrado|highland; normalization_pass=Brazil_FNP_2026-04-05; identity_source=master_zone_only,,,,,unresolved,Brazil_Workbooks_FNP,0.545,6,medicinal,,,,,,,,Flagged,,https://floradobrasil.jbrj.gov.br/consulta/,https://floradobrasil.jbrj.gov.br/consulta/,https://cncflora.jbrj.gov.br/,,,Botanicals_Master,27
BOT-BR-0027,Aroeira-do-sertão,Brazilian pepper tree,Myracrodruon urundeuva,,,Tree,TRUE,TRUE,biome_tags=Caatinga|Cerrado|Pantanal; biome_basis=caatinga|cerrado|pantanal; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,4,12,3,8,high,Brazil_Workbooks_FNP,0.909,10,medicinal;wetland_filter;structural,low (native),FALSE,18.0,34.0,medium,low,FALSE,yes,low (native),https://floradobrasil.jbrj.gov.br/consulta/?q=Myracrodruon%20urundeuva,https://powo.science.kew.org/results?q=Myracrodruon%20urundeuva,https://www.embrapa.br/busca-de-publicacoes/-/publicacao/busca/aroeira,5,Brazil block 1 row built from accepted-name backbone plus profile-level horticultural defaults; verify cultivar-specific details before production deployment.,Botanicals_Master,28
BOT-BR-0028,Açaí,açaí palm,Euterpe oleracea,,,Palm,TRUE,FALSE,biome_tags=Amazon|Coastal_Restinga|Pantanal; biome_basis=amazon|coastal_restinga|pantanal; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,6,18,3,7,high,Brazil_Workbooks_FNP,0.909,10,fruit_producer;wetland_filter;structural,low,FALSE,18.0,34.0,medium,low,FALSE,yes,low,https://floradobrasil.jbrj.gov.br/consulta/?q=Euterpe%20oleracea,https://powo.science.kew.org/results?q=Euterpe%20oleracea,https://www.embrapa.br/busca-de-publicacoes/-/publicacao/busca/a%C3%A7a%C3%AD,5,Brazil block 1 row built from accepted-name backbone plus profile-level horticultural defaults; verify cultivar-specific details before production deployment.,Botanicals_Master,29
BOT-BR-0029,Açaí — BRS Pai d’Égua,açaí palm,Euterpe oleracea,BRS Pai d'Égua,,Palm,TRUE,FALSE,biome_tags=Amazon|Pantanal; biome_basis=amazon|pantanal; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,6,18,3,7,high,Brazil_Workbooks_FNP,1.0,11,fruit_producer;wetland_filter;structural,low,FALSE,18.0,34.0,medium,low,FALSE,yes,low,https://floradobrasil.jbrj.gov.br/consulta/?q=Euterpe%20oleracea,https://powo.science.kew.org/results?q=Euterpe%20oleracea,https://www.embrapa.br/busca-de-publicacoes/-/publicacao/busca/a%C3%A7a%C3%AD,5,Brazil block 1 row built from accepted-name backbone plus profile-level horticultural defaults; verify cultivar-specific details before production deployment.,Botanicals_Master,30
BOT-BR-0030,Açaí — BRS Pará,açaí palm,Euterpe oleracea,BRS Pará,,Palm,TRUE,FALSE,biome_tags=Amazon|Coastal_Restinga|Pantanal; biome_basis=amazon|coastal_restinga|pantanal; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,6,18,3,7,high,Brazil_Workbooks_FNP,1.0,11,fruit_producer;wetland_filter;structural,low,FALSE,18.0,34.0,medium,low,FALSE,yes,low,https://floradobrasil.jbrj.gov.br/consulta/?q=Euterpe%20oleracea,https://powo.science.kew.org/results?q=Euterpe%20oleracea,https://www.embrapa.br/busca-de-publicacoes/-/publicacao/busca/a%C3%A7a%C3%AD,5,Brazil block 1 row built from accepted-name backbone plus profile-level horticultural defaults; verify cultivar-specific details before production deployment.,Botanicals_Master,31
BOT-BR-0031,Açaí-solteiro,,Euterpe precatoria,,,Palm,,,biome_tags=Amazon; biome_basis=amazon; normalization_pass=Brazil_FNP_2026-04-05; identity_source=master_zone_only,,,,,unresolved,Brazil_Workbooks_FNP,0.545,6,fruit_producer;structural,,,,,,,,Not reviewed,,https://floradobrasil.jbrj.gov.br/consulta/,https://floradobrasil.jbrj.gov.br/consulta/,https://cncflora.jbrj.gov.br/,,,Botanicals_Master,32
BOT-BR-0032,Babassu,babassu palm,Attalea speciosa,,,Palm,TRUE,TRUE,biome_tags=Amazon|Cerrado; biome_basis=amazon|cerrado; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,6,18,3,7,high,Brazil_Workbooks_FNP,0.909,10,medicinal;structural,low,FALSE,18.0,34.0,medium,low,FALSE,yes,low,https://floradobrasil.jbrj.gov.br/consulta/?q=Attalea%20speciosa,https://powo.science.kew.org/results?q=Attalea%20speciosa,https://www.embrapa.br/busca-de-publicacoes/-/publicacao/busca/baba%C3%A7u,5,Brazil block 1 row built from accepted-name backbone plus profile-level horticultural defaults; verify cultivar-specific details before production deployment.,Botanicals_Master,33
BOT-BR-0033,Bacaba,bacaba palm,Oenocarpus bacaba,,,Palm,TRUE,FALSE,biome_tags=Amazon|Cerrado; biome_basis=amazon|cerrado; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,6,18,3,7,medium,Brazil_Workbooks_FNP,0.909,10,fruit_producer;structural,low,FALSE,18.0,34.0,medium,low,FALSE,no,low,https://floradobrasil.jbrj.gov.br/consulta/?q=Oenocarpus%20bacaba,https://powo.science.kew.org/results?q=Oenocarpus%20bacaba,https://www.embrapa.br/busca-de-publicacoes/-/publicacao/busca/bacaba,4,Brazil block 1 row built from accepted-name backbone plus profile-level horticultural defaults; verify cultivar-specific details before production deployment.,Botanicals_Master,34
BOT-BR-0034,Bacuri,bacuri,Platonia insignis,,,Tree,TRUE,TRUE,biome_tags=Amazon|Cerrado|Coastal_Restinga; biome_basis=amazon|cerrado|coastal_restinga; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,4,12,3,8,high,Brazil_Workbooks_FNP,0.909,10,fruit_producer;medicinal;structural,low (native),FALSE,18.0,34.0,medium,low,FALSE,yes,low (native),https://floradobrasil.jbrj.gov.br/consulta/?q=Platonia%20insignis,https://powo.science.kew.org/results?q=Platonia%20insignis,https://www.embrapa.br/busca-de-publicacoes/-/publicacao/busca/bacuri,5,Brazil block 1 row built from accepted-name backbone plus profile-level horticultural defaults; verify cultivar-specific details before production deployment.,Botanicals_Master,35
BOT-BR-0035,Banana — BRS Garantida,,Musa spp.,BRS Garantida,,Herb,,,biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,,,,,unresolved,Brazil_Workbooks_FNP,0.545,6,fruit_producer,,,,,,,,Not reviewed,,https://www.embrapa.br/en/cultivar/banana,https://floradobrasil.jbrj.gov.br/consulta/,https://cncflora.jbrj.gov.br/,,,Botanicals_Master,36
BOT-BR-0036,Banana — BRS Japira,,Musa spp.,BRS Japira,,Herb,,,biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,,,,,unresolved,Brazil_Workbooks_FNP,0.545,6,fruit_producer,,,,,,,,Not reviewed,,https://www.embrapa.br/en/cultivar/banana,https://floradobrasil.jbrj.gov.br/consulta/,https://cncflora.jbrj.gov.br/,,,Botanicals_Master,37
BOT-BR-0037,Banana — BRS Pacovan Ken,,Musa spp.,BRS Pacovan Ken,,Herb,,,biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,,,,,unresolved,Brazil_Workbooks_FNP,0.545,6,fruit_producer,,,,,,,,Not reviewed,,https://www.embrapa.br/en/cultivar/banana,https://floradobrasil.jbrj.gov.br/consulta/,https://cncflora.jbrj.gov.br/,,,Botanicals_Master,38
BOT-BR-0038,Banana — BRS Platina,,Musa spp.,BRS Platina,,Herb,,,biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,,,,,unresolved,Brazil_Workbooks_FNP,0.545,6,fruit_producer,,,,,,,,Not reviewed,,https://www.embrapa.br/en/cultivar/banana,https://floradobrasil.jbrj.gov.br/consulta/,https://cncflora.jbrj.gov.br/,,,Botanicals_Master,39
BOT-BR-0039,Banana — BRS Preciosa,,Musa spp.,BRS Preciosa,,Herb,,,biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,,,,,unresolved,Brazil_Workbooks_FNP,0.545,6,fruit_producer,,,,,,,,Not reviewed,,https://www.embrapa.br/en/cultivar/banana,https://floradobrasil.jbrj.gov.br/consulta/,https://cncflora.jbrj.gov.br/,,,Botanicals_Master,40
BOT-BR-0040,Banana — BRS Princesa,,Musa spp.,BRS Princesa,,Herb,,,biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,,,,,unresolved,Brazil_Workbooks_FNP,0.545,6,fruit_producer,,,,,,,,Not reviewed,,https://www.embrapa.br/en/cultivar/banana,https://floradobrasil.jbrj.gov.br/consulta/,https://cncflora.jbrj.gov.br/,,,Botanicals_Master,41
