root_profile_id,botanical_entry_id,root_form,root_depth_class,root_spread_class,root_aggression,root_depth_min_m,root_depth_max_m,root_architecture_type,root_depth_category,excavation_sensitivity,root_competition_intensity,container_root_behavior,waterlogging_tolerance,notes,source_table,source_row
ROOT-BOT-BR-0077,BOT-BR-0077,taproot with lateral feeder roots,medium to deep,moderate to broad,low to medium,,,taproot with lateral feeder roots,medium to deep,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,272
ROOT-BOT-BR-0078,BOT-BR-0078,,,,,,,,,,,,,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved;identity_workbook_unmatched,Botanicals_Master,79
ROOT-BOT-BR-0079,BOT-BR-0079,fibrous to shallow lateral root system,shallow to medium,moderate,low,,,fibrous to shallow lateral root system,shallow to medium,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,322
ROOT-BOT-BR-0080,BOT-BR-0080,rhizome or corm with fibrous roots,shallow to medium,narrow to moderate,low,,,rhizome or corm with fibrous roots,shallow to medium,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,87
ROOT-BOT-BR-0081,BOT-BR-0081,fibrous to shallow lateral root system,shallow to medium,moderate,low,,,fibrous to shallow lateral root system,shallow to medium,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,33
ROOT-BOT-BR-0082,BOT-BR-0082,,,,,,,,,,,,,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved;identity_workbook_unmatched,Botanicals_Master,83
ROOT-BOT-BR-0083,BOT-BR-0083,fibrous to shallow lateral root system,shallow to medium,moderate,low,,,fibrous to shallow lateral root system,shallow to medium,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,299
ROOT-BOT-BR-0084,BOT-BR-0084,taproot with lateral feeder roots,medium to deep,moderate to broad,low to medium,,,taproot with lateral feeder roots,medium to deep,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,284
ROOT-BOT-BR-0085,BOT-BR-0085,,,,,,,,,,,,,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved;identity_workbook_unmatched,Botanicals_Master,86
ROOT-BOT-BR-0086,BOT-BR-0086,fibrous with juvenile taproot,medium,moderate,low to medium,,,fibrous with juvenile taproot,medium,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,235
