design_matrix_id,botanical_entry_id,food_forest_layer,canonical_layer_primary,canonical_layer_secondary,layer_stack_tags,guild_role,shade_tolerance,water_need,companion_tags,notes,source_table,source_row
SDM-BOT-BR-0024,BOT-BR-0024,Canopy,canopy,,primary:canopy,fruit_producer,,unresolved,,biome_tags=Atlantic_Forest|South_Subtropical; biome_basis=atlantic_forest|south_subtropical; normalization_pass=Brazil_FNP_2026-04-05; identity_source=master_zone_only,Botanicals_Master,25
SDM-BOT-BR-0025,BOT-BR-0025,Canopy,canopy,,primary:canopy,fruit_producer,,unresolved,,biome_tags=Amazon; biome_basis=amazon; normalization_pass=Brazil_FNP_2026-04-05; identity_source=master_zone_only,Botanicals_Master,26
SDM-BOT-BR-0026,BOT-BR-0026,Shrub,shrub,,primary:shrub,medicinal,,unresolved,,biome_tags=Cerrado|Highland; biome_basis=cerrado|highland; normalization_pass=Brazil_FNP_2026-04-05; identity_source=master_zone_only,Botanicals_Master,27
SDM-BOT-BR-0027,BOT-BR-0027,Canopy,canopy,,primary:canopy;size:L;growth:tree,medicinal,low to medium,medium,wetland_filter,biome_tags=Caatinga|Cerrado|Pantanal; biome_basis=caatinga|cerrado|pantanal; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,28
SDM-BOT-BR-0028,BOT-BR-0028,Canopy,canopy,,primary:canopy;size:XL;growth:palm,fruit_producer,medium,high,wetland_filter,biome_tags=Amazon|Coastal_Restinga|Pantanal; biome_basis=amazon|coastal_restinga|pantanal; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,29
SDM-BOT-BR-0029,BOT-BR-0029,Canopy,canopy,,primary:canopy;size:XL;growth:palm,fruit_producer,medium,high,wetland_filter,biome_tags=Amazon|Pantanal; biome_basis=amazon|pantanal; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,30
SDM-BOT-BR-0030,BOT-BR-0030,Canopy,canopy,,primary:canopy;size:XL;growth:palm,fruit_producer,medium,high,wetland_filter,biome_tags=Amazon|Coastal_Restinga|Pantanal; biome_basis=amazon|coastal_restinga|pantanal; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,31
SDM-BOT-BR-0031,BOT-BR-0031,Sub-canopy,subcanopy,,primary:subcanopy,fruit_producer,,unresolved,,biome_tags=Amazon; biome_basis=amazon; normalization_pass=Brazil_FNP_2026-04-05; identity_source=master_zone_only,Botanicals_Master,32
SDM-BOT-BR-0032,BOT-BR-0032,Canopy,canopy,,primary:canopy;size:XL;growth:palm,medicinal,medium,high,,biome_tags=Amazon|Cerrado; biome_basis=amazon|cerrado; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,33
SDM-BOT-BR-0033,BOT-BR-0033,Canopy,canopy,,primary:canopy;size:XL;growth:palm,fruit_producer,medium,high,,biome_tags=Amazon|Cerrado; biome_basis=amazon|cerrado; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,34
SDM-BOT-BR-0034,BOT-BR-0034,Canopy,canopy,,primary:canopy;size:L;growth:tree,fruit_producer,low to medium,medium,,biome_tags=Amazon|Cerrado|Coastal_Restinga; biome_basis=amazon|cerrado|coastal_restinga; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,35
SDM-BOT-BR-0035,BOT-BR-0035,Herbaceous,herbaceous,,primary:herbaceous,fruit_producer,,unresolved,,biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Botanicals_Master,36
SDM-BOT-BR-0036,BOT-BR-0036,Herbaceous,herbaceous,,primary:herbaceous,fruit_producer,,unresolved,,biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Botanicals_Master,37
SDM-BOT-BR-0037,BOT-BR-0037,Herbaceous,herbaceous,,primary:herbaceous,fruit_producer,,unresolved,,biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Botanicals_Master,38
SDM-BOT-BR-0038,BOT-BR-0038,Herbaceous,herbaceous,,primary:herbaceous,fruit_producer,,unresolved,,biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Botanicals_Master,39
SDM-BOT-BR-0039,BOT-BR-0039,Herbaceous,herbaceous,,primary:herbaceous,fruit_producer,,unresolved,,biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Botanicals_Master,40
SDM-BOT-BR-0040,BOT-BR-0040,Herbaceous,herbaceous,,primary:herbaceous,fruit_producer,,unresolved,,biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Botanicals_Master,41
SDM-BOT-BR-0041,BOT-BR-0041,Herbaceous,herbaceous,,primary:herbaceous,fruit_producer,,unresolved,,biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Botanicals_Master,42
SDM-BOT-BR-0042,BOT-BR-0042,Herbaceous,herbaceous,,primary:herbaceous,fruit_producer,,unresolved,,biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Botanicals_Master,43
SDM-BOT-BR-0043,BOT-BR-0043,Herbaceous,herbaceous,,primary:herbaceous,fruit_producer,,unresolved,,biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Botanicals_Master,44
SDM-BOT-BR-0044,BOT-BR-0044,Herbaceous,herbaceous,,primary:herbaceous,fruit_producer,,unresolved,,biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Botanicals_Master,45
SDM-BOT-BR-0045,BOT-BR-0045,Herbaceous,herbaceous,,primary:herbaceous,fruit_producer,,unresolved,,biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Botanicals_Master,46
SDM-BOT-BR-0046,BOT-BR-0046,Herbaceous,herbaceous,,primary:herbaceous,fruit_producer,,unresolved,,biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Botanicals_Master,47
SDM-BOT-BR-0047,BOT-BR-0047,Herbaceous,herbaceous,,primary:herbaceous,fruit_producer,,unresolved,,biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Botanicals_Master,48
SDM-BOT-BR-0048,BOT-BR-0048,Herbaceous,herbaceous,,primary:herbaceous,fruit_producer,,unresolved,,biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Botanicals_Master,49
SDM-BOT-BR-0049,BOT-BR-0049,Canopy,canopy,,primary:canopy,medicinal,,unresolved,,biome_tags=Cerrado|Highland; biome_basis=cerrado|highland; normalization_pass=Brazil_FNP_2026-04-05; identity_source=master_zone_only,Botanicals_Master,50
SDM-BOT-BR-0050,BOT-BR-0050,Canopy,canopy,,primary:canopy;size:L;growth:tree,fruit_producer,low to medium,medium,,biome_tags=Cerrado|Highland; biome_basis=cerrado|highland; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,51
SDM-BOT-BR-0051,BOT-BR-0051,Canopy,canopy,,primary:canopy;size:L;growth:tree,fruit_producer,low to medium,medium,,biome_tags=Amazon|Atlantic_Forest|Coastal_Restinga; biome_basis=amazon|atlantic_forest|coastal_restinga; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,52
SDM-BOT-BR-0052,BOT-BR-0052,Shrub,shrub,,primary:shrub;size:S;growth:shrub,medicinal,low to medium,medium,,biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Botanicals_Master,53
SDM-BOT-BR-0053,BOT-BR-0053,Canopy,canopy,,primary:canopy;size:XL;growth:palm,fruit_producer,medium,high,wetland_filter,biome_tags=Amazon|Cerrado|Pantanal; biome_basis=amazon|cerrado|pantanal; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,54
SDM-BOT-BR-0054,BOT-BR-0054,Sub-canopy,subcanopy,,primary:subcanopy;size:L;growth:small_understory_tree,fruit_producer,high,medium,,biome_tags=Amazon|Atlantic_Forest|Coastal_Restinga; biome_basis=amazon|atlantic_forest|coastal_restinga; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,55
SDM-BOT-BR-0055,BOT-BR-0055,Shrub,shrub,,primary:shrub;size:M;growth:shrub_to_small_tree,fruit_producer,medium,medium,,biome_tags=Cerrado|Highland|South_Subtropical; biome_basis=cerrado|highland|south_subtropical; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,56
SDM-BOT-BR-0056,BOT-BR-0056,Shrub,shrub,,primary:shrub;size:M;growth:shrub_to_small_tree,fruit_producer,medium,medium,,biome_tags=Cerrado|Highland|South_Subtropical; biome_basis=cerrado|highland|south_subtropical; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,57
SDM-BOT-BR-0057,BOT-BR-0057,Shrub,shrub,,primary:shrub;size:M;growth:shrub_to_small_tree,fruit_producer,medium,medium,,biome_tags=Cerrado|Highland|South_Subtropical; biome_basis=cerrado|highland|south_subtropical; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,58
SDM-BOT-BR-0058,BOT-BR-0058,Shrub,shrub,,primary:shrub;size:M;growth:shrub_to_small_tree,fruit_producer,medium,medium,,biome_tags=Cerrado|Highland|South_Subtropical; biome_basis=cerrado|highland|south_subtropical; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,59
SDM-BOT-BR-0059,BOT-BR-0059,Shrub,shrub,,primary:shrub;size:M;growth:shrub_to_small_tree,fruit_producer,medium,medium,,biome_tags=Cerrado|Highland|South_Subtropical; biome_basis=cerrado|highland|south_subtropical; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,60
SDM-BOT-BR-0060,BOT-BR-0060,Shrub,shrub,,primary:shrub;size:M;growth:shrub_to_small_tree,fruit_producer,medium,medium,,biome_tags=Cerrado|Highland|South_Subtropical; biome_basis=cerrado|highland|south_subtropical; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,61
SDM-BOT-BR-0061,BOT-BR-0061,Shrub,shrub,,primary:shrub;size:M;growth:shrub_to_small_tree,fruit_producer,medium,medium,,biome_tags=Cerrado|Highland|South_Subtropical; biome_basis=cerrado|highland|south_subtropical; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,62
SDM-BOT-BR-0062,BOT-BR-0062,Shrub,shrub,,primary:shrub;size:M;growth:shrub_to_small_tree,fruit_producer,medium,medium,,biome_tags=Cerrado|Highland|South_Subtropical; biome_basis=cerrado|highland|south_subtropical; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,63
SDM-BOT-BR-0063,BOT-BR-0063,Shrub,shrub,,primary:shrub;size:M;growth:shrub_to_small_tree,fruit_producer,medium,medium,,biome_tags=Cerrado|Highland|South_Subtropical; biome_basis=cerrado|highland|south_subtropical; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,64
SDM-BOT-BR-0064,BOT-BR-0064,Shrub,shrub,,primary:shrub;size:M;growth:shrub_to_small_tree,fruit_producer,medium,medium,,biome_tags=Cerrado|Highland|South_Subtropical; biome_basis=cerrado|highland|south_subtropical; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,65
SDM-BOT-BR-0065,BOT-BR-0065,Shrub,shrub,,primary:shrub;size:M;growth:shrub_to_small_tree,fruit_producer,medium,medium,,biome_tags=Cerrado|Highland|South_Subtropical; biome_basis=cerrado|highland|south_subtropical; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,66
SDM-BOT-BR-0066,BOT-BR-0066,Shrub,shrub,,primary:shrub;size:M;growth:shrub_to_small_tree,fruit_producer,medium,medium,,biome_tags=Cerrado|Highland|South_Subtropical; biome_basis=cerrado|highland|south_subtropical; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,67
SDM-BOT-BR-0067,BOT-BR-0067,Shrub,shrub,,primary:shrub;size:M;growth:shrub_to_small_tree,fruit_producer,medium,medium,,biome_tags=Cerrado|Highland|South_Subtropical; biome_basis=cerrado|highland|south_subtropical; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,68
SDM-BOT-BR-0068,BOT-BR-0068,Shrub,shrub,,primary:shrub;size:M;growth:shrub_to_small_tree,fruit_producer,medium,medium,,biome_tags=Cerrado|Highland|South_Subtropical; biome_basis=cerrado|highland|south_subtropical; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,69
SDM-BOT-BR-0069,BOT-BR-0069,Shrub,shrub,,primary:shrub;size:M;growth:shrub_to_small_tree,fruit_producer,medium,medium,,biome_tags=Cerrado|Highland|South_Subtropical; biome_basis=cerrado|highland|south_subtropical; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,70
SDM-BOT-BR-0070,BOT-BR-0070,Shrub,shrub,,primary:shrub;size:M;growth:shrub_to_small_tree,fruit_producer,medium,medium,,biome_tags=Cerrado|Highland|South_Subtropical; biome_basis=cerrado|highland|south_subtropical; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,71
SDM-BOT-BR-0071,BOT-BR-0071,Shrub,shrub,,primary:shrub;size:M;growth:shrub_to_small_tree,fruit_producer,medium,medium,,biome_tags=Cerrado|Highland|South_Subtropical; biome_basis=cerrado|highland|south_subtropical; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,72
SDM-BOT-BR-0072,BOT-BR-0072,Shrub,shrub,,primary:shrub;size:M;growth:shrub_to_small_tree,fruit_producer,medium,medium,,biome_tags=Cerrado|Highland|South_Subtropical; biome_basis=cerrado|highland|south_subtropical; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,73
SDM-BOT-BR-0073,BOT-BR-0073,Shrub,shrub,,primary:shrub;size:M;growth:shrub_to_small_tree,fruit_producer,medium,medium,,biome_tags=Amazon|Atlantic_Forest; biome_basis=amazon|atlantic_forest; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,74
SDM-BOT-BR-0074,BOT-BR-0074,Canopy,canopy,,primary:canopy;size:L;growth:tree,fruit_producer,low to medium,medium,,biome_tags=Cerrado|Highland; biome_basis=cerrado|highland; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,75
SDM-BOT-BR-0075,BOT-BR-0075,Canopy,canopy,,primary:canopy;size:L;growth:tree,fruit_producer,low to medium,medium,,biome_tags=Amazon|Atlantic_Forest|Caatinga|Cerrado|Coastal_Restinga; biome_basis=amazon|atlantic_forest|caatinga|cerrado|coastal_restinga; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,76
SDM-BOT-BR-0076,BOT-BR-0076,Canopy,canopy,,primary:canopy;size:L;growth:tree,fruit_producer,low to medium,medium,,biome_tags=Amazon|Atlantic_Forest|Cerrado|Coastal_Restinga; biome_basis=amazon|atlantic_forest|cerrado|coastal_restinga; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,77
SDM-BOT-BR-0077,BOT-BR-0077,Canopy,canopy,,primary:canopy;size:L;growth:tree,fruit_producer,low to medium,medium,,biome_tags=Atlantic_Forest|Highland; biome_basis=atlantic_forest|highland; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,78
SDM-BOT-BR-0078,BOT-BR-0078,Canopy,canopy,,primary:canopy,fruit_producer,,unresolved,,biome_tags=Atlantic_Forest; biome_basis=atlantic_forest; normalization_pass=Brazil_FNP_2026-04-05; identity_source=master_zone_only,Botanicals_Master,79
SDM-BOT-BR-0079,BOT-BR-0079,Shrub,shrub,,primary:shrub;size:M;growth:shrub_to_small_tree,fruit_producer,low to medium,medium,,biome_tags=Amazon; biome_basis=amazon; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,80
SDM-BOT-BR-0080,BOT-BR-0080,Herbaceous,herbaceous,,primary:herbaceous;size:S;growth:herbaceous_perennial,medicinal,medium,medium,,biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Botanicals_Master,81
SDM-BOT-BR-0081,BOT-BR-0081,Shrub,shrub,,primary:shrub;size:S;growth:shrub,medicinal,low to medium,medium,,biome_tags=Atlantic_Forest|Cerrado|South_Subtropical; biome_basis=atlantic_forest|cerrado|south_subtropical; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,82
SDM-BOT-BR-0082,BOT-BR-0082,Canopy,canopy,,primary:canopy,medicinal,,unresolved,,biome_tags=Atlantic_Forest|South_Subtropical; biome_basis=atlantic_forest|south_subtropical; normalization_pass=Brazil_FNP_2026-04-05; identity_source=master_zone_only,Botanicals_Master,83
SDM-BOT-BR-0083,BOT-BR-0083,Shrub,shrub,,primary:shrub;size:M;growth:shrub_to_small_tree,fruit_producer,low to medium,medium,,biome_tags=Atlantic_Forest|Highland|South_Subtropical; biome_basis=atlantic_forest|highland|south_subtropical; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,84
SDM-BOT-BR-0084,BOT-BR-0084,Canopy,canopy,,primary:canopy;size:L;growth:tree,fruit_producer,low to medium,medium,,biome_tags=Amazon|Atlantic_Forest|Cerrado; biome_basis=amazon|atlantic_forest|cerrado; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,85
SDM-BOT-BR-0085,BOT-BR-0085,Canopy,canopy,,primary:canopy,fruit_producer,,unresolved,,biome_tags=Amazon; biome_basis=amazon; normalization_pass=Brazil_FNP_2026-04-05; identity_source=master_zone_only,Botanicals_Master,86
SDM-BOT-BR-0086,BOT-BR-0086,Sub-canopy,subcanopy,,primary:subcanopy;size:L;growth:small_understory_tree,fruit_producer,high,medium,,biome_tags=Amazon|Coastal_Restinga; biome_basis=amazon|coastal_restinga; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,87
SDM-BOT-BR-0087,BOT-BR-0087,Shrub,shrub,,primary:shrub,medicinal,,unresolved,,biome_tags=Atlantic_Forest|Coastal_Restinga; biome_basis=atlantic_forest|coastal_restinga; normalization_pass=Brazil_FNP_2026-04-05; identity_source=master_zone_only,Botanicals_Master,88
SDM-BOT-BR-0088,BOT-BR-0088,Sub-canopy,subcanopy,,primary:subcanopy;size:L;growth:tree,medicinal,low,medium,,biome_tags=Atlantic_Forest|South_Subtropical; biome_basis=atlantic_forest|south_subtropical; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,89
SDM-BOT-BR-0089,BOT-BR-0089,Shrub,shrub,,primary:shrub;size:S;growth:shrub,medicinal,low to medium,medium,,biome_tags=Atlantic_Forest|Highland|South_Subtropical; biome_basis=atlantic_forest|highland|south_subtropical; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,90
SDM-BOT-BR-0090,BOT-BR-0090,Shrub,shrub,,primary:shrub;size:M;growth:shrub_to_small_tree,fruit_producer,low to medium,medium,,biome_tags=Atlantic_Forest|Cerrado; biome_basis=atlantic_forest|cerrado; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,91
SDM-BOT-BR-0091,BOT-BR-0091,Shrub,shrub,,primary:shrub;size:M;growth:shrub_to_small_tree,fruit_producer,low to medium,medium,,biome_tags=Atlantic_Forest|Cerrado; biome_basis=atlantic_forest|cerrado; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,92
SDM-BOT-BR-0092,BOT-BR-0092,Shrub,shrub,,primary:shrub;size:M;growth:shrub_to_small_tree,fruit_producer,low to medium,medium,,biome_tags=Atlantic_Forest|Cerrado; biome_basis=atlantic_forest|cerrado; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,93
SDM-BOT-BR-0093,BOT-BR-0093,Shrub,shrub,,primary:shrub;size:M;growth:shrub_to_small_tree,fruit_producer,low to medium,medium,,biome_tags=Atlantic_Forest|Cerrado; biome_basis=atlantic_forest|cerrado; normalization_pass=Brazil_FNP_2026-04-05; identity_source=identity_match,Botanicals_Master,94
